signal_date,buy_date,sell_date,portfolio_ret,benchmark_ret,excess_ret,n_stocks,top_stocks,cum_portfolio,cum_benchmark,cum_excess
2023-07-05,2023-07-06,2023-07-13,-0.037517123476505834,0.015633116616645102,-0.05315024009315093,10,"300124.SZ,300394.SZ,600111.SH,300418.SZ,688256.SH,300033.SZ,601360.SH,601360.SH,601238.SH,601238.SH",0.9624828765234942,1.015633116616645,0.946849759906849
2023-07-12,2023-07-13,2023-07-20,-0.049485208277271195,-0.01710898822775507,-0.032376220049516125,10,"688506.SH,002028.SZ,300476.SZ,002463.SZ,002459.SZ,688047.SH,688256.SH,600010.SH,688041.SH,688008.SH",0.914854210915422,0.9982566615807327,0.9161943437262734
2023-07-19,2023-07-20,2023-07-27,0.0011532398781016434,0.01424124479185611,-0.013088004913754466,10,"300628.SZ,601136.SH,601059.SH,300394.SZ,000977.SZ,688082.SH,603019.SH,688506.SH,601058.SH,688472.SH",0.9159092572740988,1.012473079063405,0.9042031876536298
2023-07-26,2023-07-27,2023-08-03,0.04521833239355161,0.028355764700047987,0.01686256769350362,10,"688472.SH,601136.SH,300628.SZ,002463.SZ,002736.SZ,600999.SH,600048.SH,601229.SH,600029.SH,601825.SH",0.9573251465118499,1.04118252745846,0.919450375114121
2023-08-02,2023-08-03,2023-08-10,0.056060230065206516,-0.005639140932699309,0.061699370997905824,10,"601136.SH,300803.SZ,300033.SZ,601456.SH,688256.SH,600918.SH,600918.SH,300476.SZ,601377.SH,601236.SH",1.0109930144725117,1.0353111524494578,0.9761798849224509
2023-08-09,2023-08-10,2023-08-17,0.010785152538742161,-0.03438111719969666,0.04516626973843882,10,"601136.SH,300803.SZ,601059.SH,601456.SH,000895.SZ,300832.SZ,302132.SZ,688506.SH,000063.SZ,000063.SZ",1.0218967283492004,0.9997159983789401,1.0202702889180963
2023-08-16,2023-08-17,2023-08-24,-0.027245027419586863,-0.030388894925876337,0.0031438675062894737,10,"601136.SH,601059.SH,601456.SH,300803.SZ,300394.SZ,601138.SH,003816.SZ,300442.SZ,600025.SH,600025.SH",0.9940551239653403,0.9693357339484849,1.0234778835270584
2023-08-23,2023-08-24,2023-08-31,-0.001326792869321612,0.011574650325395905,-0.012901443194717517,10,"601059.SH,300661.SZ,300442.SZ,601136.SH,002463.SZ,605117.SH,601995.SH,300476.SZ,300803.SZ,300759.SZ",0.9927362187151506,0.9805554561168497,1.0102735417516844
2023-08-30,2023-08-31,2023-09-07,-0.020172667902432127,-0.0008800277142712997,-0.019292640188160827,10,"300033.SZ,601689.SH,603799.SH,603392.SH,601995.SH,601127.SH,688041.SH,300803.SZ,688271.SH,688472.SH",0.9727100806602936,0.9796925401400869,0.9907826978190503
2023-09-06,2023-09-07,2023-09-14,0.007220362644530133,-0.00017829444703003136,0.007398657091560165,10,"601127.SH,301236.SZ,300803.SZ,601995.SH,600039.SH,603799.SH,300033.SZ,000776.SZ,601872.SH,600918.SH",0.9797334001906511,0.9795178664003832,0.9981131592524642
2023-09-13,2023-09-14,2023-09-21,0.000707072386242626,-0.016280977342952144,0.016988049729194772,10,"601127.SH,600039.SH,300803.SZ,301236.SZ,601059.SH,300476.SZ,300498.SZ,600027.SH,600027.SH,603799.SH",0.9804261426238055,0.9635703582105016,1.0150691552372089
2023-09-20,2023-09-21,2023-09-28,0.05369924652187217,0.010550222604720811,0.043149023917151356,10,"300308.SZ,601059.SH,601825.SH,600519.SH,300418.SZ,600406.SH,300251.SZ,000708.SZ,300498.SZ,002415.SZ",1.0330742877530494,0.9737362399849329,1.0588683984941016
2023-09-27,2023-09-28,2023-10-13,-0.03012941813177889,-0.00679818443492262,-0.02333123369685627,10,"601136.SH,002463.SZ,300308.SZ,300502.SZ,300394.SZ,301236.SZ,002709.SZ,601138.SH,002460.SZ,300750.SZ",1.0019483605761481,0.9671166014345471,1.0341636924346198
2023-10-12,2023-10-13,2023-10-20,0.0029800112190862,-0.03825879412048634,0.04123880533957254,10,"601127.SH,300122.SZ,300418.SZ,601136.SH,300394.SZ,601808.SH,600809.SH,601600.SH,600111.SH,300803.SZ",1.00493417793161,0.9301158864897583,1.0768113676361846
2023-10-19,2023-10-20,2023-10-27,0.018800520134823355,0.01663706923345798,0.0021634509013653755,10,"601127.SH,300122.SZ,600415.SH,600346.SH,600346.SH,002714.SZ,601059.SH,002594.SZ,600845.SH,600845.SH",1.0238274631779856,0.9455902888884274,1.0791409961600975
2023-10-26,2023-10-27,2023-11-03,0.03360073409075176,0.0017991956998321143,0.03180153839091965,10,"301236.SZ,601127.SH,601138.SH,300502.SZ,000063.SZ,000063.SZ,601698.SH,688012.SH,688041.SH,688169.SH",1.058228817523038,0.9472915908699986,1.113459339978698
2023-11-02,2023-11-03,2023-11-10,0.09553605311056348,0.009702928337463546,0.08583312477309994,10,"601127.SH,300122.SZ,300394.SZ,688256.SH,300502.SZ,301236.SZ,300308.SZ,688111.SH,300418.SZ,300782.SZ",1.159327822037048,0.9564830932908919,1.209031034436863
2023-11-09,2023-11-10,2023-11-17,0.03032498368312212,0.004561979059344661,0.02576300462377746,10,"601901.SH,300502.SZ,002230.SZ,002459.SZ,601138.SH,601601.SH,000977.SZ,000983.SZ,300394.SZ,000938.SZ",1.194484419323711,0.9608465491331022,1.2401793065673505
2023-11-16,2023-11-17,2023-11-24,-0.042445283779584994,-0.011661756412790047,-0.030783527366794947,10,"301236.SZ,688256.SH,300122.SZ,601901.SH,300394.SZ,600027.SH,600027.SH,002179.SZ,601633.SH,000975.SZ",1.1437841891752232,0.949641390727042,1.2020022129439019
2023-11-23,2023-11-24,2023-12-01,0.010399472271150092,-0.0054685156370318615,0.015867987908181953,10,"300502.SZ,688256.SH,301236.SZ,000977.SZ,601318.SH,601919.SH,688396.SH,600515.SH,600115.SH,000538.SZ",1.1556789411347308,0.9444482619322785,1.2210755695245037
2023-11-30,2023-12-01,2023-12-08,0.02244594923710791,-0.013150349214678449,0.03559629845178636,10,"688256.SH,300502.SZ,688047.SH,301236.SZ,300442.SZ,688506.SH,688271.SH,601059.SH,601238.SH,601238.SH",1.1816192519818356,0.9320284374726728,1.264541339929483
2023-12-07,2023-12-08,2023-12-15,-0.01945829250510571,-0.013465640036481789,-0.00599265246862392,10,"300502.SZ,688047.SH,688256.SH,300418.SZ,688506.SH,300394.SZ,002459.SZ,300251.SZ,688271.SH,300413.SZ",1.158626958947109,0.9194780780299012,1.2569633831470775
2023-12-14,2023-12-15,2023-12-22,-0.03321355289718677,-0.00843355087770812,-0.02478000201947865,10,"688472.SH,601360.SH,601360.SH,600048.SH,600989.SH,601916.SH,688047.SH,002027.SZ,600276.SH,000063.SZ",1.1201448411580126,0.9117236128778987,1.2258158279742821
2023-12-21,2023-12-22,2023-12-29,0.059597541277589317,0.029703491243022406,0.02989405003456691,10,"603392.SH,601136.SH,601456.SH,688506.SH,605117.SH,601600.SH,601012.SH,600031.SH,000157.SZ,000157.SZ",1.186902719565806,0.938804987229074,1.2624604276689093
2023-12-28,2023-12-29,2024-01-08,-0.026294513131114174,-0.04000563311526494,0.013711119984150769,10,"603392.SH,301236.SZ,300832.SZ,601136.SH,688256.SH,300418.SZ,688271.SH,000630.SZ,300760.SZ,603260.SH",1.1556936904208277,0.9012474993432067,1.2797701740679202
2024-01-05,2024-01-08,2024-01-15,0.006553805189250741,0.0004537660363194654,0.006100039152931276,10,"605117.SH,603392.SH,300418.SZ,601800.SH,600926.SH,601186.SH,600219.SH,600219.SH,601825.SH,601658.SH",1.163267881726292,0.9016564548487266,1.2875768222364883
2024-01-12,2024-01-15,2024-01-22,-0.039390402546002054,-0.0378598899287671,-0.0015305126172349554,10,"300803.SZ,688111.SH,600989.SH,600362.SH,600660.SH,600031.SH,601998.SH,000895.SZ,600588.SH,688256.SH",1.1174462915962584,0.8675198407145914,1.2856061696643961
2024-01-19,2024-01-22,2024-01-29,0.0013722479919731538,0.03998616160235877,-0.03861391361038562,10,"300033.SZ,300502.SZ,603392.SH,600066.SH,688047.SH,601138.SH,300803.SZ,600519.SH,600016.SH,000157.SZ",1.1189797050260393,0.9022086292586575,1.2359638840919964
2024-01-26,2024-01-29,2024-02-05,-0.050762643963137274,-0.04819693735480852,-0.0025657066083287564,10,"601689.SH,601136.SH,601800.SH,002920.SZ,002920.SZ,300782.SZ,600482.SH,601857.SH,600585.SH,000001.SZ",1.0621773366578262,0.8587249364733103,1.2327927633869258
2024-02-02,2024-02-05,2024-02-20,0.09717967640993821,0.09727118341596429,-9.150700602607309e-05,10,"603259.SH,000776.SZ,600089.SH,601377.SH,601238.SH,601238.SH,601878.SH,301236.SZ,300661.SZ,601688.SH",1.1653993865242038,0.942254127272868,1.2326799542120976
2024-02-19,2024-02-20,2024-02-27,0.13361240662856738,0.03895083566389562,0.09466157096467176,10,"603296.SH,301236.SZ,603259.SH,688047.SH,300803.SZ,688256.SH,603392.SH,300502.SZ,300418.SZ,603893.SH",1.3211112032411587,0.9789557129379008,1.3493673751744746
2024-02-26,2024-02-27,2024-03-05,0.0071601152414806045,0.023115665689188415,-0.01595555044770781,10,"603259.SH,688047.SH,300803.SZ,002466.SZ,300347.SZ,601689.SH,002920.SZ,002920.SZ,603296.SH,603986.SH",1.3305705117031765,1.0015849259226945,1.3278374759473872
2024-03-04,2024-03-05,2024-03-12,0.009390173149273297,0.0064690132808119805,0.0029211598684613163,10,"000002.SZ,001979.SZ,000938.SZ,600048.SH,300476.SZ,688256.SH,601021.SH,601601.SH,688271.SH,300502.SZ",1.3430647991953866,1.0080641921103497,1.3317163014939637
2024-03-11,2024-03-12,2024-03-19,0.05064329846776975,0.005955082456223309,0.04468821601154644,10,"688506.SH,603259.SH,300347.SZ,300394.SZ,301236.SZ,300502.SZ,300418.SZ,603392.SH,300442.SZ,300122.SZ",1.411082030682594,1.014067297495533,1.3912283272412238
2024-03-18,2024-03-19,2024-03-26,-0.06873663813827505,-0.014209765032856701,-0.054526873105418344,10,"601138.SH,603259.SH,605117.SH,300418.SZ,300308.SZ,603392.SH,688256.SH,300476.SZ,300502.SZ,688047.SH",1.3140889957561421,0.9996576394706175,1.3153689967810782
2024-03-25,2024-03-26,2024-04-02,0.007508165827071702,0.012836091853762381,-0.005327926026690679,10,"300442.SZ,002920.SZ,002920.SZ,300418.SZ,002230.SZ,000977.SZ,300251.SZ,605117.SH,603260.SH,300759.SZ",1.3239553938478095,1.0124893367531778,1.3083608080684264
2024-04-01,2024-04-02,2024-04-11,0.0032898784817302143,-0.016907614838336707,0.02019749332006692,10,"300418.SZ,688008.SH,600436.SH,300442.SZ,603986.SH,600845.SH,600845.SH,000625.SZ,000625.SZ,600276.SH",1.3283110462088,0.995370557019432,1.3347864167496257
2024-04-10,2024-04-11,2024-04-18,0.011507883923094054,0.021339214799253724,-0.00983133087615967,10,"300418.SZ,603195.SH,301236.SZ,300442.SZ,600276.SH,603296.SH,300661.SZ,603993.SH,002625.SZ,000100.SZ",1.3435970955423344,1.0166109831405226,1.3216636898375567
2024-04-17,2024-04-18,2024-04-25,-0.00956218673509237,-0.01465143535193603,0.0050892486168436606,10,"002709.SZ,300418.SZ,002625.SZ,601138.SH,603392.SH,300502.SZ,300347.SZ,300442.SZ,601021.SH,301236.SZ",1.330749369218031,1.0017161730429711,1.3283899649429949
2024-04-24,2024-04-25,2024-05-07,0.05620814645855528,0.043268377776372026,0.012939768682183252,10,"300418.SZ,601138.SH,605117.SH,300442.SZ,300502.SZ,301236.SZ,300476.SZ,002625.SZ,600030.SH,600036.SH",1.405548324662668,1.045058806842896,1.3455790238090908
2024-05-06,2024-05-07,2024-05-14,-0.032859971035016484,0.006937756760893503,-0.03979772779590999,10,"300418.SZ,002466.SZ,002459.SZ,000625.SZ,000625.SZ,301236.SZ,601127.SH,300122.SZ,300033.SZ,002709.SZ",1.359362047425937,1.0523091706456016,1.2920280360916503
2024-05-13,2024-05-14,2024-05-21,0.017292063878634183,0.0008708930569468824,0.0164211708216873,10,"300418.SZ,002459.SZ,300442.SZ,002625.SZ,688256.SH,301236.SZ,000625.SZ,000625.SZ,601138.SH,688047.SH",1.3828682227842173,1.0532256193960785,1.3132446491787204
2024-05-20,2024-05-21,2024-05-28,-0.019561902457453338,-0.018964151362074584,-0.000597751095378754,10,"605117.SH,300418.SZ,300476.SZ,300122.SZ,600438.SH,000625.SZ,000625.SZ,601138.SH,002459.SZ,000651.SZ",1.3558166894986006,1.0332520893314365,1.3124596557511736
2024-05-27,2024-05-28,2024-06-04,0.02732542808545222,0.00701532398839388,0.02031010409705834,10,"301236.SZ,300476.SZ,001979.SZ,601138.SH,300442.SZ,300413.SZ,605117.SH,688256.SH,600362.SH,000002.SZ",1.3928649609445505,1.0405006874997815,1.3391158479826692
2024-06-03,2024-06-04,2024-06-12,-0.01778919779286433,-0.010792952962369358,-0.006996244830494972,10,"300476.SZ,300442.SZ,301236.SZ,300418.SZ,605117.SH,002920.SZ,002920.SZ,601825.SH,000002.SZ,601006.SH",1.3680870106555576,1.0292706125222835,1.3297470656537866
2024-06-11,2024-06-12,2024-06-19,-0.006485625886850797,-0.0008808806945952389,-0.005604745192255558,10,"300418.SZ,601888.SH,605117.SH,002459.SZ,300476.SZ,002625.SZ,300442.SZ,601872.SH,000975.SZ,300347.SZ",1.3592141101237856,1.0283639479101985,1.3222941721806476
2024-06-18,2024-06-19,2024-06-26,-0.025706098446987936,-0.01693034980953124,-0.008775748637456695,10,"605117.SH,300347.SZ,300442.SZ,600010.SH,603019.SH,603195.SH,600845.SH,600845.SH,300418.SZ,600111.SH",1.3242740183984085,1.0109533865405682,1.3106900509008164
2024-06-25,2024-06-26,2024-07-03,-0.04935382290266134,-0.00822847113399512,-0.04112535176866622,10,"300394.SZ,600010.SH,300760.SZ,002028.SZ,300832.SZ,300782.SZ,300418.SZ,688047.SH,300347.SZ,002460.SZ",1.2589160330197777,1.0026347857816045,1.2567874614978292
2024-07-02,2024-07-03,2024-07-10,0.046259457464832246,-0.004498676320001638,0.05075813378483388,10,"300394.SZ,603369.SH,688256.SH,601138.SH,300476.SZ,300866.SZ,603501.SH,601607.SH,601328.SH,002594.SZ",1.3171528057010515,0.9981242564131988,1.320579647607638
2024-07-09,2024-07-10,2024-07-17,0.007721908919316114,0.018822432281298717,-0.011100523361982603,10,"300394.SZ,601012.SH,601138.SH,688303.SH,605117.SH,002459.SZ,300059.SZ,601211.SH,600050.SH,600377.SH",1.3273237396994968,1.0169113826378577,1.3059205223780106
2024-07-16,2024-07-17,2024-07-24,-0.0237393177118832,-0.0251160363951736,0.001376718683290399,10,"688256.SH,300394.SZ,600406.SH,601138.SH,002459.SZ,002241.SZ,001979.SZ,688303.SH,300476.SZ,002920.SZ",1.2958139797362456,0.991370599340859,1.307718407560061
2024-07-23,2024-07-24,2024-07-31,0.07360862811947108,0.022155224694563633,0.05145340342490745,10,"002459.SZ,688303.SH,300394.SZ,601012.SH,300803.SZ,000858.SZ,000858.SZ,300059.SZ,002920.SZ,002920.SZ",1.3911970690826625,1.0133346377248398,1.3750049703504263
2024-07-30,2024-07-31,2024-08-07,-0.027098273154838246,-0.03039268224518099,0.0032944090903427453,10,"300394.SZ,300832.SZ,688047.SH,002600.SZ,600160.SH,002459.SZ,601012.SH,601919.SH,688303.SH,600438.SH",1.35349803089245,0.9825366800724331,1.3795347992240155
2024-08-06,2024-08-07,2024-08-14,0.023586664064143385,-0.012390399193104333,0.03597706325724772,10,"300394.SZ,300502.SZ,300476.SZ,002600.SZ,601138.SH,688256.SH,688169.SH,600160.SH,000807.SZ,603993.SH",1.3854225342585897,0.9703626583844682,1.4291664099612724
2024-08-13,2024-08-14,2024-08-21,0.01926354518584259,-0.00014893862482205503,0.019412483810664648,10,"300502.SZ,300866.SZ,300394.SZ,688169.SH,300476.SZ,603986.SH,601138.SH,688256.SH,002601.SZ,300308.SZ",1.4121106838487645,0.9702181339045498,1.4569100797573913
2024-08-20,2024-08-21,2024-08-28,-0.03292970005499933,-0.01653451276528936,-0.01639518728970997,10,"300476.SZ,300502.SZ,002600.SZ,601698.SH,002384.SZ,688256.SH,601138.SH,302132.SZ,688169.SH,600160.SH",1.3656103025851647,0.9541760497843897,1.4330237661355025
2024-08-27,2024-08-28,2024-09-04,-0.011252553836297684,-0.0051574149521170735,-0.006095138884180611,10,"002600.SZ,002384.SZ,300476.SZ,601825.SH,300750.SZ,000895.SZ,601628.SH,601688.SH,603893.SH,600377.SH",1.3502436991359223,0.9492549679582797,1.424289287256575
2024-09-03,2024-09-04,2024-09-11,-0.014082319528709317,-0.019009458741688617,0.0049271392129793,10,"600760.SH,601006.SH,601916.SH,300803.SZ,600585.SH,300628.SZ,000063.SZ,000063.SZ,601390.SH,002179.SZ",1.331229135923064,0.9312101448095339,1.4313069588544434
2024-09-10,2024-09-11,2024-09-20,0.001010922974157659,0.007452299823269227,-0.006441376849111568,10,"300394.SZ,688256.SH,300476.SZ,601825.SH,002384.SZ,300628.SZ,601288.SH,600009.SH,601689.SH,603259.SH",1.3325749060404366,0.9381498020071246,1.422087371345706
2024-09-19,2024-09-20,2024-09-27,0.14686104701475305,0.16002900866683015,-0.013167961652077093,10,"002466.SZ,600011.SH,600160.SH,002600.SZ,600089.SH,601916.SH,601169.SH,601816.SH,000001.SZ,000001.SZ",1.5282782519671214,1.0882809848033077,1.4033613793739226
